"Status","Name","Duration in ms","Description"
"passed","Test.TestCase.test_019_homepage.Testzhishiyingyongjiaru#test__002__jiaru","11923",""
"passed","Test.TestCase.test_015_schedulingmanage.TestDiaoduGunali2#test__001__shitiquanliang2","4956",""
"passed","Test.TestCase.test_015_schedulingmanage.TestDiaoduGunali2#test__001__shitiquanliang2","4952",""
"passed","Test.TestCase.test_010_mappingmanage.TestChuangjianshiti#test__001__chuangjian","7410",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_015_schedulingmanage.TestDiaoduGunali2#test__001__shitiquanliang2","5123",""
"passed","Test.TestCase.test_019_homepage.Testzhishiyingyongjiaru#test__003__shanchu","4906",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6813",""
"passed","Test.TestCase.test_014_schedulingmanage.TestDiaoduGunali#test__001__shitizengliang","4696",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_010_mappingmanage.TestChuangjianshiti#test__001__chuangjian","7466",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5379",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6820",""
"passed","Test.TestCase.test_011_mappingmanage.TestChuangjianguanxi#test__001__chuangjian","10356",""
"passed","Test.TestCase.test_016_schedulingmanage.TestDiaodusousou#test__003__xiugai","7147",""
"passed","Test.TestCase.test_014_schedulingmanage.TestDiaoduGunali#test__001__shitizengliang","4764",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5627",""
"passed","Test.TestCase.test_017_homepage.TestZhishiyingyong#test__001__chuangjian","9752",""
"passed","Test.TestCase.test_013_mappingmanage.TestZhishiyinghsesousuo#test__004__piliangshanchu","2166",""
"passed","Test.TestCase.test_009_datasourcemanage.TestXiuGai#test_001_xiugai","7056",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"failed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5460",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_001_ontologymanagement.TestOntologymanagement#test__001__chuangjian","4256",""
"passed","Test.TestCase.test_014_schedulingmanage.TestDiaoduGunali#test__001__shitizengliang","4785",""
"passed","Test.TestCase.test_008_datasourcemanage.TestSousuoShanchu#test__004__pilinagshanchu","7084",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11041",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6667",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5885",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6939",""
"passed","Test.TestCase.test_016_schedulingmanage.TestDiaodusousou#test__005__pilangshanchu","1866",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6933",""
"passed","Test.TestCase.test_013_mappingmanage.TestZhishiyinghsesousuo#test__001__sousuo","3266",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6825",""
"passed","Test.TestCase.test_017_homepage.TestZhishiyingyong#test__001__chuangjian","10011",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6766",""
"passed","Test.TestCase.test_016_schedulingmanage.TestDiaodusousou#test_001__sousuo","3265",""
"passed","Test.TestCase.test_011_mappingmanage.TestChuangjianguanxi#test__001__chuangjian","10059",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_016_schedulingmanage.TestDiaodusousou#test__002__diaodu","5864",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_015_schedulingmanage.TestDiaoduGunali2#test__001__shitiquanliang2","5108",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","7078",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6818",""
"passed","Test.TestCase.test_013_mappingmanage.TestZhishiyinghsesousuo#test__002__xiugai","7829",""
"passed","Test.TestCase.test_017_homepage.TestZhishiyingyong#test__001__chuangjian","9973",""
"passed","Test.TestCase.test_008_datasourcemanage.TestSousuoShanchu#test__002__shanchu","5981",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6757",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6547",""
"passed","Test.TestCase.test_014_schedulingmanage.TestDiaoduGunali#test__001__shitizengliang","4583",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5514",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_016_schedulingmanage.TestDiaodusousou#test__006__piliangshanchu","5140",""
"passed","Test.TestCase.test_008_datasourcemanage.TestSousuoShanchu#test__003__piliangshanchu","3453",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5787",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6949",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6755",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_019_homepage.Testzhishiyingyongjiaru#test__001__jiaru","5038",""
"passed","Test.TestCase.test_011_mappingmanage.TestChuangjianguanxi#test__001__chuangjian","9615",""
"passed","Test.TestCase.test_001_ontologymanagement.TestOntologymanagement#test__001__chuangjian","4304",""
"passed","Test.TestCase.test_008_datasourcemanage.TestSousuoShanchu#test__001__sousuo","3468",""
"passed","Test.TestCase.test_015_schedulingmanage.TestDiaoduGunali2#test__001__shitiquanliang2","5025",""
"passed","Test.TestCase.test_013_mappingmanage.TestZhishiyinghsesousuo#test__005__piliangshanchu","7098",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6664",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6822",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6636",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5544",""
"passed","Test.TestCase.test_002_ontologymanagement.TestDaochufabu#test__001__daochu","4272",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_017_homepage.TestZhishiyingyong#test__001__chuangjian","9734",""
"passed","Test.TestCase.test_001_ontologymanagement.TestOntologymanagement#test__001__chuangjian","4378",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","7041",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11052",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5439",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5695",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5886",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11076",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11056",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","7197",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11052",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6852",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11128",""
"passed","Test.TestCase.test_010_mappingmanage.TestChuangjianshiti#test__001__chuangjian","7687",""
"passed","Test.TestCase.test_013_mappingmanage.TestZhishiyinghsesousuo#test__003__shanchu","5770",""
"passed","Test.TestCase.test_016_schedulingmanage.TestDiaodusousou#test__004__shanchu","7042",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","7008",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_014_schedulingmanage.TestDiaoduGunali#test__001__shitizengliang","4946",""
